key,en,es,fr,zh,hi,ko
appointment_subtitle,Schedule a confidential appointment with our support team,Programa una cita confidencial con nuestro equipo de apoyo,Planifiez une consultation confidentielle avec notre équipe,与我们的支持团队安排保密预约,हमारी सहायता टीम के साथ गोपनीय अपॉइंटमेंट शेड्यूल करें,저희 상담팀과 비밀 보장 예약을 잡으세요
appointment_title,Book a Session,Reservar una Sesión,Prendre Rendez-vous,预约咨询,सत्र बुक करें,세션 예약
appt_confidential,Confidential,Confidencial,Confidentiel,保密,गोपनीय,비밀 보장
appt_date_label,Preferred Date,Fecha Preferida,Date Préférée,首选日期,पसंदीदा तारीख,희망 날짜
appt_disclaimer,We'll contact you within 24 hours to confirm your appointment. All sessions are confidential.,Te contactaremos dentro de 24 horas para confirmar tu cita. Todas las sesiones son confidenciales.,Nous vous contacterons dans les 24 heures pour confirmer votre rendez-vous. Toutes les sessions sont confidentielles.,我们将在24小时内联系您确认预约。所有会话均保密。,हम आपकी अपॉइंटमेंट की पुष्टि के लिए 24 घंटे के भीतर आपसे संपर्क करेंगे। सभी सत्र गोपनीय हैं।,24시간 이내에 예약 확인을 위해 연락드리겠습니다. 모든 세션은 비밀이 보장됩니다.
appt_email_label,Email Address,Correo Electrónico,Adresse Email,电子邮箱,ईमेल पता,이메일 주소
appt_email_placeholder,you@example.com,tu@ejemplo.com,vous@exemple.com,您的邮箱@example.com,आप@उदाहरण.com,you@example.com
appt_name_label,Full Name,Nombre Completo,Nom Complet,全名,पूरा नाम,성함
appt_name_placeholder,Your name,Tu nombre,Votre nom,您的姓名,आपका नाम,이름을 입력하세요
appt_notes_label,Additional Notes (Optional),Notas Adicionales (Opcional),Notes Supplémentaires (Optionnel),附加说明（可选）,अतिरिक्त नोट्स (वैकल्पिक),추가 메모 (선택사항)
appt_notes_placeholder,Anything you'd like us to know before your session...,Cualquier cosa que quieras que sepamos antes de tu sesión...,Tout ce que vous aimeriez nous faire savoir avant votre session...,在会话前您希望我们了解的任何信息...,आपके सत्र से पहले कुछ भी जो आप हमें बताना चाहते हैं...,세션 전에 알려주실 내용이 있으시면 적어주세요...
appt_submit,Request Appointment,Solicitar Cita,Demander un Rendez-vous,申请预约,अपॉइंटमेंट का अनुरोध करें,예약 요청
appt_supportive,Supportive,De Apoyo,Bienveillant,支持性,सहायक,지지적
